"STATION","NAME","DATE","DAPR","DAWM","MDPR","MDWM","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDMV"
"USC00048135","SHASTA DAM, CA US","1984-02-26",,,,,"0.00","0.0","0.0","58","43","36","52.8"
"USC00048135","SHASTA DAM, CA US","1984-02-27",,,,,"0.00","0.0","0.0","66","43","43","47.2"
"USC00048135","SHASTA DAM, CA US","1984-02-28",,,,,"0.00","0.0","0.0","63","43","42","39.1"
"USC00048135","SHASTA DAM, CA US","1984-02-29",,,,,"0.00","0.0","0.0","62","43","45","26.1"
"USC00048135","SHASTA DAM, CA US","1984-03-01",,,,,"0.00","0.0","0.0","57","46","45","24.2"
"USC00048135","SHASTA DAM, CA US","1984-03-02",,,,,"0.02","0.0","0.0","60","43","44","39.1"
"USC00048135","SHASTA DAM, CA US","1984-03-03",,,,,"0.00","0.0","0.0","64","44","50","77.1"
"USC00048135","SHASTA DAM, CA US","1984-03-04",,,,,"0.00","0.0","0.0","70","45","46","62.1"
"USC00048135","SHASTA DAM, CA US","1984-03-05",,,,,"0.00","0.0","0.0","68","45","52","83.3"
"USC00048135","SHASTA DAM, CA US","1984-03-06",,,,,"0.00","0.0","0.0","70","43","43","62.8"
"USC00048135","SHASTA DAM, CA US","1984-03-07",,,,,"0.00","0.0","0.0","68","43","48","46.0"
"USC00048135","SHASTA DAM, CA US","1984-03-08",,,,,"0.00","0.0","0.0","69","45","46","42.9"
"USC00048135","SHASTA DAM, CA US","1984-03-09",,,,,"0.00","0.0","0.0","68","45","48","44.7"
"USC00048135","SHASTA DAM, CA US","1984-03-10",,,,,"0.00","0.0","0.0","69","48","48","39.1"
"USC00048135","SHASTA DAM, CA US","1984-03-11",,,,,"0.00","0.0","0.0","70","48","48","49.1"
"USC00048135","SHASTA DAM, CA US","1984-03-12",,,,,"0.00","0.0","0.0","65","47","49","42.3"
"USC00048135","SHASTA DAM, CA US","1984-03-13",,,,,"1.61","0.0","0.0","64","48","49","39.8"
"USC00048135","SHASTA DAM, CA US","1984-03-14",,,,,"2.17","0.0","0.0","55","47","48","95.1"
"USC00048135","SHASTA DAM, CA US","1984-03-15",,,,,"1.30","0.0","0.0","54","45","45","67.7"
"USC00048135","SHASTA DAM, CA US","1984-03-16",,,,,"0.02","0.0","0.0","55","43","43","49.1"
"USC00048135","SHASTA DAM, CA US","1984-03-17",,,,,"0.82","0.0","0.0","50","32","34","41.0"
"USC00048135","SHASTA DAM, CA US","1984-03-18",,,,,"0.00","0.0","0.0","55","39","44","32.9"
"USC00048135","SHASTA DAM, CA US","1984-03-19",,,,,"0.00","0.0","0.0","66","44","52","60.3"
"USC00048135","SHASTA DAM, CA US","1984-03-20",,,,,"0.00","0.0","0.0","78","51","53","52.2"
"USC00048135","SHASTA DAM, CA US","1984-03-21",,,,,"0.00","0.0","0.0","68","43","45","57.8"
"USC00048135","SHASTA DAM, CA US","1984-03-22",,,,,"0.00","0.0","0.0","65","45","48","44.1"
"USC00048135","SHASTA DAM, CA US","1984-03-23",,,,,"0.00","0.0","0.0","72","49","52","47.8"
"USC00048135","SHASTA DAM, CA US","1984-03-24",,,,,"0.00","0.0","0.0","70","50","52","46.0"
"USC00048135","SHASTA DAM, CA US","1984-03-25",,,,,"0.00","0.0","0.0","70","51","52","52.2"
"USC00048135","SHASTA DAM, CA US","1984-03-26",,,,,"0.00","0.0","0.0","70","52","54","49.7"
"USC00048135","SHASTA DAM, CA US","1984-03-27",,,,,"0.00","0.0","0.0","70","48","48","51.0"
"USC00048135","SHASTA DAM, CA US","1984-03-28",,,,,"0.00","0.0","0.0","72","48","55","42.3"
"USC00048135","SHASTA DAM, CA US","1984-03-29",,,,,"0.00","0.0","0.0","73","44","54","39.8"
"USC00048135","SHASTA DAM, CA US","1984-03-30",,,,,"0.00","0.0","0.0","65","45","49","49.1"
"USC00048135","SHASTA DAM, CA US","1984-03-31",,,,,"0.05","0.0","0.0","67","41","41","46.0"
"USC00048135","SHASTA DAM, CA US","1984-04-01",,,,,"0.07","0.0","0.0","54","40","40","26.7"
"USC00048135","SHASTA DAM, CA US","1984-04-02",,,,,"0.00","0.0","0.0","66","41","44","32.9"
"USC00048135","SHASTA DAM, CA US","1984-04-03",,,,,"0.00","0.0","0.0","65","44","49","44.1"
"USC00048135","SHASTA DAM, CA US","1984-04-04",,,,,"0.01","0.0","0.0","62","49","50","31.1"
"USC00048135","SHASTA DAM, CA US","1984-04-05",,,,,"0.00","0.0","0.0","63","49","50","31.1"
"USC00048135","SHASTA DAM, CA US","1984-04-06",,,,,"0.02","0.0","0.0","62","45","49","37.3"
"USC00048135","SHASTA DAM, CA US","1984-04-07",,,,,"0.00","0.0","0.0","63","47","48","57.8"
"USC00048135","SHASTA DAM, CA US","1984-04-08",,,,,"0.37","0.0","0.0","66","45","48","47.8"
"USC00048135","SHASTA DAM, CA US","1984-04-09",,,,,"0.02","0.0","0.0","61","40","42","42.9"
"USC00048135","SHASTA DAM, CA US","1984-04-10",,,,,"0.65","0.0","0.0","53","40","46","32.9"
"USC00048135","SHASTA DAM, CA US","1984-04-11",,,,,"0.05","0.0","0.0","61","38","42","65.9"
"USC00048135","SHASTA DAM, CA US","1984-04-12",,,,,"0.00","0.0","0.0","64","43","52","47.8"
"USC00048135","SHASTA DAM, CA US","1984-04-13",,,,,"0.00","0.0","0.0","68","49","54","55.9"
"USC00048135","SHASTA DAM, CA US","1984-04-14",,,,,"0.00","0.0","0.0","78","53","56","37.9"
"USC00048135","SHASTA DAM, CA US","1984-04-15",,,,,"0.00","0.0","0.0","82","53","56","41.0"
"USC00048135","SHASTA DAM, CA US","1984-04-16",,,,,"0.00","0.0","0.0","79","55","58","37.3"
"USC00048135","SHASTA DAM, CA US","1984-04-17",,,,,"0.00","0.0","0.0","70","50","50","19.3"
"USC00048135","SHASTA DAM, CA US","1984-04-18",,,,,"0.55","0.0","0.0","64","42","42","39.1"
"USC00048135","SHASTA DAM, CA US","1984-04-19",,,,,"0.82","0.0","0.0","49","41","47","16.2"
"USC00048135","SHASTA DAM, CA US","1984-04-20",,,,,"0.00","0.0","0.0","59","40","47","37.3"
"USC00048135","SHASTA DAM, CA US","1984-04-21",,,,,"0.00","0.0","0.0","67","47","52","42.9"
"USC00048135","SHASTA DAM, CA US","1984-04-22",,,,,"0.00","0.0","0.0","77","52","60","52.2"
"USC00048135","SHASTA DAM, CA US","1984-04-23",,,,,"0.00","0.0","0.0","83","54","60","41.0"
"USC00048135","SHASTA DAM, CA US","1984-04-24",,,,,"0.00","0.0","0.0","77","51","55","41.0"
"USC00048135","SHASTA DAM, CA US","1984-04-25",,,,,"0.00","0.0","0.0","66","40","46","62.1"
"USC00048135","SHASTA DAM, CA US","1984-04-26",,,,,"0.00","0.0","0.0","57","40","48","49.1"
"USC00048135","SHASTA DAM, CA US","1984-04-27",,,,,"0.00","0.0","0.0","63","41","51","55.9"
"USC00048135","SHASTA DAM, CA US","1984-04-28",,,,,"0.00","0.0","0.0","69","48","52","34.8"
"USC00048135","SHASTA DAM, CA US","1984-04-29",,,,,"0.00","0.0","0.0","72","51","55","24.9"
"USC00048135","SHASTA DAM, CA US","1984-04-30",,,,,"0.03","0.0","0.0","68","46","46","49.7"
"USC00048135","SHASTA DAM, CA US","1984-05-01",,,,,"0.18","0.0","0.0","60","46","51","8.1"
"USC00048135","SHASTA DAM, CA US","1984-05-02",,,,,"0.81","0.0","0.0","53","50","51","59.0"
"USC00048135","SHASTA DAM, CA US","1984-05-03",,,,,"0.20","0.0","0.0","62","52","54","32.9"
"USC00048135","SHASTA DAM, CA US","1984-05-04",,,,,"0.01","0.0","0.0","67","52","55","39.8"
"USC00048135","SHASTA DAM, CA US","1984-05-05",,,,,"0.00","0.0","0.0","69","47","49","44.7"
"USC00048135","SHASTA DAM, CA US","1984-05-06",,,,,"0.00","0.0","0.0","68","48","52","37.9"
"USC00048135","SHASTA DAM, CA US","1984-05-07",,,,,"0.00","0.0","0.0","72","52","59","57.2"
